유저식별아이디,나이,성별,학력,시력,참여일자,MC구분,선택_A_321,시간_A_321,확신_321,선택_B_321,시간_B_321,선택_A_322,시간_A_322,확신_322,선택_B_322,시간_B_322,선택_A_323,시간_A_323,확신_323,선택_B_323,시간_B_323,선택_A_324,시간_A_324,확신_324,선택_B_324,시간_B_324,선택_A_325,시간_A_325,확신_325,선택_B_325,시간_B_325,선택_A_326,시간_A_326,확신_326,선택_B_326,시간_B_326,선택_A_327,시간_A_327,확신_327,선택_B_327,시간_B_327,선택_A_328,시간_A_328,확신_328,선택_B_328,시간_B_328,선택_A_329,시간_A_329,확신_329,선택_B_329,시간_B_329,선택_A_330,시간_A_330,확신_330,선택_B_330,시간_B_330,선택_A_331,시간_A_331,확신_331,선택_B_331,시간_B_331,선택_A_332,시간_A_332,확신_332,선택_B_332,시간_B_332,선택_A_333,시간_A_333,확신_333,선택_B_333,시간_B_333,선택_A_334,시간_A_334,확신_334,선택_B_334,시간_B_334,선택_A_335,시간_A_335,확신_335,선택_B_335,시간_B_335,선택_A_336,시간_A_336,확신_336,선택_B_336,시간_B_336,선택_A_337,시간_A_337,확신_337,선택_B_337,시간_B_337,선택_A_338,시간_A_338,확신_338,선택_B_338,시간_B_338,선택_A_339,시간_A_339,확신_339,선택_B_339,시간_B_339,선택_A_340,시간_A_340,확신_340,선택_B_340,시간_B_340,선택_A_341,시간_A_341,확신_341,선택_B_341,시간_B_341,선택_A_342,시간_A_342,확신_342,선택_B_342,시간_B_342,선택_A_343,시간_A_343,확신_343,선택_B_343,시간_B_343,선택_A_344,시간_A_344,확신_344,선택_B_344,시간_B_344,선택_A_345,시간_A_345,확신_345,선택_B_345,시간_B_345,선택_A_346,시간_A_346,확신_346,선택_B_346,시간_B_346,선택_A_347,시간_A_347,확신_347,선택_B_347,시간_B_347,선택_A_348,시간_A_348,확신_348,선택_B_348,시간_B_348,선택_A_349,시간_A_349,확신_349,선택_B_349,시간_B_349,선택_A_350,시간_A_350,확신_350,선택_B_350,시간_B_350,선택_A_351,시간_A_351,확신_351,선택_B_351,시간_B_351,선택_A_352,시간_A_352,확신_352,선택_B_352,시간_B_352,선택_A_353,시간_A_353,확신_353,선택_B_353,시간_B_353,선택_A_354,시간_A_354,확신_354,선택_B_354,시간_B_354,선택_A_355,시간_A_355,확신_355,선택_B_355,시간_B_355,선택_A_356,시간_A_356,확신_356,선택_B_356,시간_B_356,선택_A_357,시간_A_357,확신_357,선택_B_357,시간_B_357,선택_A_358,시간_A_358,확신_358,선택_B_358,시간_B_358,선택_A_359,시간_A_359,확신_359,선택_B_359,시간_B_359,선택_A_360,시간_A_360,확신_360,선택_B_360,시간_B_360,선택_A_361,시간_A_361,확신_361,선택_B_361,시간_B_361,선택_A_362,시간_A_362,확신_362,선택_B_362,시간_B_362,선택_A_363,시간_A_363,확신_363,선택_B_363,시간_B_363,선택_A_364,시간_A_364,확신_364,선택_B_364,시간_B_364,선택_A_365,시간_A_365,확신_365,선택_B_365,시간_B_365,선택_A_366,시간_A_366,확신_366,선택_B_366,시간_B_366,선택_A_367,시간_A_367,확신_367,선택_B_367,시간_B_367,선택_A_368,시간_A_368,확신_368,선택_B_368,시간_B_368,선택_A_369,시간_A_369,확신_369,선택_B_369,시간_B_369,선택_A_370,시간_A_370,확신_370,선택_B_370,시간_B_370,선택_A_371,시간_A_371,확신_371,선택_B_371,시간_B_371,선택_A_372,시간_A_372,확신_372,선택_B_372,시간_B_372,선택_A_373,시간_A_373,확신_373,선택_B_373,시간_B_373,선택_A_374,시간_A_374,확신_374,선택_B_374,시간_B_374,선택_A_375,시간_A_375,확신_375,선택_B_375,시간_B_375,선택_A_376,시간_A_376,확신_376,선택_B_376,시간_B_376,선택_A_377,시간_A_377,확신_377,선택_B_377,시간_B_377,선택_A_378,시간_A_378,확신_378,선택_B_378,시간_B_378,선택_A_379,시간_A_379,확신_379,선택_B_379,시간_B_379,선택_A_380,시간_A_380,확신_380,선택_B_380,시간_B_380,선택_A_381,시간_A_381,확신_381,선택_B_381,시간_B_381,선택_A_382,시간_A_382,확신_382,선택_B_382,시간_B_382,선택_A_383,시간_A_383,확신_383,선택_B_383,시간_B_383,선택_A_384,시간_A_384,확신_384,선택_B_384,시간_B_384,선택_A_385,시간_A_385,확신_385,선택_B_385,시간_B_385,선택_A_386,시간_A_386,확신_386,선택_B_386,시간_B_386,선택_A_387,시간_A_387,확신_387,선택_B_387,시간_B_387,선택_A_388,시간_A_388,확신_388,선택_B_388,시간_B_388,선택_A_389,시간_A_389,확신_389,선택_B_389,시간_B_389,선택_A_390,시간_A_390,확신_390,선택_B_390,시간_B_390,선택_A_391,시간_A_391,확신_391,선택_B_391,시간_B_391,선택_A_392,시간_A_392,확신_392,선택_B_392,시간_B_392,선택_A_393,시간_A_393,확신_393,선택_B_393,시간_B_393,선택_A_394,시간_A_394,확신_394,선택_B_394,시간_B_394,선택_A_395,시간_A_395,확신_395,선택_B_395,시간_B_395,선택_A_396,시간_A_396,확신_396,선택_B_396,시간_B_396,선택_A_397,시간_A_397,확신_397,선택_B_397,시간_B_397,선택_A_398,시간_A_398,확신_398,선택_B_398,시간_B_398,선택_A_399,시간_A_399,확신_399,선택_B_399,시간_B_399,선택_A_400,시간_A_400,확신_400,선택_B_400,시간_B_400
30,36,1,석사,1,2021-11-01 11:42,1,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
19,23,1,대졸,1,2021-11-01 11:42,1,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
29,43,2,대졸,1,2021-11-01 11:42,1,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
32,,,,,2021-11-01 11:44,1,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
33,,,,,2021-11-01 11:49,1,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
42,22,2,고졸,1,2021-11-01 17:17,1,19072221,3.16,1,,0,19080133,1.25,1,,0,19070311,1.37,1,,0,19081632,2.27,1,,0,19082032,1.3,1,,0,19070522,1.27,1,,0,19081421,2.11,1,,0,19072221,1.12,1,,0,19081421,3.92,1,,0,19070231,1.16,1,,0,19092711,1.33,1,,0,19072221,3.9,1,,0,19070522,2.74,1,,0,19070522,1.11,1,,0,19071131,1.59,1,,0,19081632,1.71,1,,0,19082032,2.79,1,,0,19071821,1.34,1,,0,19082032,1.37,1,,0,19072221,1.26,1,,0,19080133,1.31,1,,0,19082032,1.4,1,,0,19071131,1.61,1,,0,19070311,1.19,1,,0,19081421,2.61,1,,0,19092711,1.45,1,,0,19070231,1.72,1,,0,19090631,2.56,1,,0,19092711,2.67,1,,0,19071131,2.54,1,,0,19071821,1.96,1,,0,19070231,1.92,1,,0,19092711,1.15,1,,0,19081632,1.92,1,,0,19090631,1.26,1,,0,19092711,2.1,1,,0,19072922,1.78,1,,0,19070522,1.84,1,,0,19070522,0.15,1,,0,19070311,1.59,1,,0,19072922,1.67,1,,0,19080133,2.68,1,,0,19082032,1.3,1,,0,19081632,0.38,1,,0,19082032,1.63,1,,0,19070231,2.12,1,,0,19092711,1.3,1,,0,19070522,2.53,1,,0,19081421,2.16,1,,0,19070522,1.5,1,,0,19090222,1.22,1,,0,19072922,0.93,1,,0,19072221,2.57,1,,0,19081632,1.73,1,,0,19090222,1.24,1,,0,19090631,1.18,1,,0,19092711,1.58,1,,0,19070231,1.15,1,,0,19090631,1.97,1,,0,19072221,2.35,1,,0,19082032,1.47,1,,0,19072221,1.53,1,,0,19090631,1.97,1,,0,19072221,1.91,1,,0,19081421,2.9,1,,0,19071821,1.9,1,,0,19071131,1.16,1,,0,19092521,1.47,1,,0,19072221,1.86,1,,0,19082032,1.14,1,,0,19071131,2.59,1,,0,19081632,1.18,1,,0,19071821,1.51,1,,0,19092711,2.19,1,,0,19082131,1.65,1,,0,19071131,2.69,1,,0,19082032,1.28,1,,0,19072221,2.68,1,,0,19080133,0.83,1,,0,19080133,2.5,,19090222,1.5
40,,,,,2021-11-01 17:21,1,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
43,,,,,2021-11-01 17:21,1,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
44,25,2,고졸,1,2021-11-01 17:22,1,19080133,1.5,1,,0,19080133,1.53,1,,0,19070311,2.68,,19092711,0.59,19072922,1.29,1,,0,19070522,0.7,1,,0,19082131,1.37,1,,0,19081421,1.41,1,,0,19082131,2.79,,19090631,0.27,19070522,1.84,1,,0,19081632,4.4,,19071131,1.56,,0,,,0,19092521,0.74,1,,0,19070522,1.61,1,,0,19072922,0.12,1,,0,19081421,2.16,1,,0,19081632,3.17,1,,0,19070311,1.85,1,,0,19071821,3.64,1,,0,19092711,2.26,,19082032,0.29,19070231,2.42,1,,0,19080133,3,1,,0,19071131,4.13,1,,0,19071131,0.88,1,,0,19070311,0.32,1,,0,19081421,2.68,1,,0,19090631,1.22,1,,0,19070231,1.78,1,,0,19090631,2.22,1,,0,19080133,1.31,1,,0,19081421,4.25,1,,0,19071821,1.22,1,,0,19070231,1.23,1,,0,19071131,3.3,1,,0,19081632,0.55,1,,0,19082131,4.7,1,,0,19092521,2.69,1,,0,19072922,1.5,1,,0,19082131,1.29,1,,0,19070522,0.48,1,,0,19090222,2.33,,19070311,1.56,19092711,0.6,1,,0,19090222,1.32,1,,0,19071821,1.59,1,,0,19081632,0.21,1,,0,19081421,1.87,1,,0,19072922,0.3,1,,0,19092711,2.96,1,,0,19071821,1.76,1,,0,19071821,4.59,1,,0,19070522,1.97,1,,0,19080133,2.53,1,,0,19092711,1.94,1,,0,19070311,2.36,1,,0,19081632,1.7,1,,0,19090222,0.62,1,,0,19090631,0.54,1,,0,19081632,4.46,,19092521,0.5,19070231,0.58,1,,0,19090631,2.58,,19081632,0.13,19082032,2,1,,0,19072922,1.26,1,,0,19072221,3.77,1,,0,19082131,1.28,1,,0,19072221,0.69,1,,0,19070231,0.3,1,,0,19071821,1.71,1,,0,19071131,1.5,1,,0,19090631,0.97,1,,0,19081632,3.89,1,,0,19082032,2.48,1,,0,19081421,1.3,1,,0,19081632,1.82,1,,0,19081421,2.63,1,,0,19080133,2.22,1,,0,19090631,3.24,,19071821,0.27,19081632,3.69,1,,0,19082032,2.21,1,,0,19092711,3.45,1,,0,19080133,0.66,1,,0,19090222,0.54,1,,0
41,24,2,고졸,1,2021-11-01 17:23,1,19080133,1.85,1,,0,19080133,1.25,1,,0,19070311,1.66,,19092711,0.74,19072922,1.64,1,,0,19082032,2.22,,19070522,0.27,19070522,1.82,,19082131,0.88,19081421,1.44,1,,0,19082131,1.73,1,,0,19070522,1.18,,19092711,0.39,19070231,1.79,1,,0,19081632,1.28,1,,0,19092521,1.67,1,,0,19081632,2.64,1,,0,19072922,3.23,,19070522,0.46,19081421,1.43,1,,0,19090222,1.79,1,,0,19070311,1.99,,19082032,1.96,19070231,2.84,,19071821,0.24,19092711,1.13,,19080133,0.53,19072221,0.41,,19092521,0.87,19080133,1.72,,19090222,0.72,19092711,1.98,,19082032,0.38,19071131,0.51,1,,0,19070311,1.6,1,,0,19081421,1.48,1,,0,19090631,1.93,1,,0,19081632,1.35,,19080133,0.51,19080133,1.58,,19090631,0.57,19080133,0.64,1,,0,19081421,1.86,1,,0,19071821,0.39,,19092521,0.75,19070231,1.23,,19081632,0.22,19092521,0.15,1,,0,19081632,1.14,1,,0,19082131,2.68,,19092711,0.86,19092521,0.74,1,,0,19072922,1.86,1,,0,19082131,1.12,1,,0,19070522,2.2,,19082131,1.28,19070311,1.68,1,,0,19092711,1.6,1,,0,19090222,1.42,1,,0,19080133,1.81,,19071821,0.97,19081632,1.15,1,,0,19081421,1.79,,19071821,1.8,19072922,1.18,1,,0,19092711,1.52,1,,0,19071821,1.71,1,,0,19081421,1.48,1,,0,19070522,1.92,1,,0,19090222,0.83,1,,0,19092711,1.39,1,,0,19070311,1.23,,19082131,0.23,19081632,0.33,1,,0,19090222,1.29,1,,0,19090631,1.73,1,,0,19092521,1.18,1,,0,19070231,1.46,1,,0,19081632,0.19,1,,0,19081421,1.22,,19072221,0.33,19072922,2.17,,19082032,1.85,19072221,1.67,1,,0,19082131,1.68,1,,0,19072221,1.12,1,,0,19070231,0.7,1,,0,19071821,1.14,,19072922,0.96,19071131,1.58,1,,0,19090631,1.91,,19082131,0.85,19072221,1.34,1,,0,19070522,1.7,,19082032,0.73,19081421,1.42,,19071131,0.5,19081632,2.74,1,,0,19081421,1.66,1,,0,19080133,1.25,,19092521,0.27,19082131,1.82,1,,0,19081632,1.65,,19082032,1.43,19082032,1.92,,19090631,0.6,19072221,1.62,1,,0,19080133,1.86,1,,0,19090222,1.68,1,,0
,,,,,2021-11-02 15:09,3,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
1234,,,,,2021-11-02 15:43,1,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
49,,,,,2021-11-03 16:13,2,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
48,,,,,2021-11-03 16:41,3,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
50,,,,,2021-11-03 17:00,3,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
55,,,,,2021-11-04 10:52,3,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0
